CORSO DI STUDI,PAROLE CHIAVE - IT
INGEGNERIA CHIMICA,drug delivery; pH-sensitive polymer drug conjugate; hydrazone; doxorubicin
INGEGNERIA GESTIONALE,energy modelling; energy efficient manufacturing; manufacturing system; energy management; energy-aware machines; line control; autonomous manufacturing systems; ICT in manufacturing; discrete event simulation
INGEGNERIA BIOMEDICA,balloons; angioplasty; stretch blow molding; DoE; mechanical characterization; finite element analysis
MATERIALS ENGINEERING AND NANOTECHNOLOGY,grpahene; CVD; copper; nickel; MEMS
INGEGNERIA DEI SISTEMI EDILIZI,training construction workers
INGEGNERIA MECCANICA,silicon nitride; thermal stress; cracks; life time analysis; test rig design; accelerated test; aerospace applications; monolithic ceramics
INGEGNERIA NUCLEARE,pipeline
INGEGNERIA CIVILE,modelling; survey; rail; simulation
INGEGNERIA MECCANICA,worker; flexibility; responsiveness; simulation; cells
INGEGNERIA MECCANICA,smart structures; Bragg grating; FBG; fault estimation; sensor fault identification and isolation; sliding mode observer; sensor fault modal residual; sensor validation; sensor fault residual; vibration control; modal control; sensor faul tolerant control
INGEGNERIA NUCLEARE,spectrum; ion source; synchrotron; particles
INGEGNERIA CHIMICA,IT-SOFC; fuel cell; syngas; biogas; modeling; experimental analysis
INGEGNERIA MECCANICA,MEMS gyroscope; optimization; quadrature; FEM; wall angle
INGEGNERIA BIOMEDICA,in situ tissue engineering; vascular substitute; drug delivery; controlled release system; mesoporous silica nanoparticles (MSNs); MCP-1 release; monocyte attraction; dual electrospinning
INGEGNERIA MECCANICA,wear; brakes; pads; car; FEM
INGEGNERIA BIOMEDICA,stenosis; aortic valve; calcifications; 3D print
INGEGNERIA CIVILE,modeling
INGEGNERIA INFORMATICA,exploration; autonomous mobile robots
INGEGNERIA ELETTRONICA,organic photodiode; organic pixel; inkjet printing
INGEGNERIA FISICA,lab on a chip;LOCs; optofluidic;optical detection; dye laser; femtosecond laser irradiation followed by chemical etching; FLICE; inkjet Printing;femtomachining;rhodamine 6G;metallic ink;metallic mirror;
INGEGNERIA MECCANICA,model; steering; driving simulator; objective index; VI-CarRealTime
INGEGNERIA ENERGETICA,object oriented modeling; optimal control; Modelica; optimization; combined cycle; direct collocation
INGEGNERIA MECCANICA,computational aeroacoustics (CAA); fluid dynamics; acoustics; forward-facing step; hybrid approach; propagation of sound; OpenFOAM; Matlab; Actran
INGEGNERIA GESTIONALE,wind energy; Brazil; economic analysis
INGEGNERIA ENERGETICA,tight gas sandstones; X-ray microtomography; pore structure; absolute permeability
INGEGNERIA ELETTRONICA,non destructive testing; piezoelectric transducer; hydraulic piston; reflection; pulse-echo; ultrasound; LabVIEW; wavelet; brake caliper; envelope detection; filtering; acquisition; analog to digital conversion
INGEGNERIA ELETTRICA,high voltage direct current transmission; travelling wave protection; derivative and level protection; longitudinal differential protection; operating performance
INGEGNERIA MECCANICA,numerical model; experimental tests; fretting fatigue; railway axle; EA4T; allowable defect; multiaxial criteria; fracture mechanics; stress intensity factors; submodeling
INGEGNERIA INFORMATICA,security agency; protocols; sia over ip; central alarm
INGEGNERIA DELL'AUTOMAZIONE,refrigeration cycles; recuperator; control
INGEGNERIA ELETTRONICA,ultrathin substrate; complementary circuits; realization; caracterization
INGEGNERIA BIOMEDICA,development of protocol; thiolated proteins; HeLa cells; mass spectrometry
INGEGNERIA DELLE TELECOMUNICAZIONI,seismic; anisotropy; converted waves; semblance; sensitivity analysis; SVD
INGEGNERIA MECCANICA,manufacturing; biomedical; orthopedics; lean manufacturing; plasma spray; special processes; quality; KPI; VSM
INGEGNERIA ENERGETICA,Savonius; VAWT; OpenFOAM; snappyHeMesh; overlap; 3D; 2D; aspect ratio; wind farm design; optimization
INGEGNERIA DEI SISTEMI EDILIZI,cold bending of glass; Hadid Tower; CityLife; glass; transparent building envelope; cold-twisted; double curved architecture; faÃ§ade engineering; blob architecture
INGEGNERIA BIOMEDICA,chronic care model; integration; continuity of care; health care system reorganization
INGEGNERIA ENERGETICA,cleanroom; RABS; isolator; cleanliness classes; HVAC; energy; catalytic converter
INGEGNERIA AERONAUTICA,GRAIL; ADN; AN; GAP; HTPB; Desmophen 2200; burning rate; specific impulse
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,collocation filter; principal component analysis; permanent stations
INGEGNERIA SPAZIALE,"plasma; propulsion; traveling magnetic field; current pulse; acceleration
stage"
INGEGNERIA INFORMATICA,APR; drone; testing; quadcopter; real-time systems; model based testing; model checking
MATERIALS ENGINEERING AND NANOTECHNOLOGY,OLED; thin film encapsulation; indentation; flexible electronics; 2PB; 2PR; mechanical bahaviour
MATERIALS ENGINEERING AND NANOTECHNOLOGY,actuator; electroactive polymers; electrostriction; P(VDF-TrFE-CTFE); cardiovascular catheter
INGEGNERIA ELETTRICA,wind power; interval frequency distribution; load transition; time structure; time interval; dynamic cost
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,precipitation; satellite estimates; in-situ data; combined precipitation data sources; hydrological performance
INGEGNERIA FISICA,MSM photodetector; Ge; Schottky diode; photocurrent; optical measures
INGEGNERIA ENERGETICA,power electronic cooling; microchannel; two-phase; thermosyphon; pump loop; flow boiling patterns
MATERIALS ENGINEERING AND NANOTECHNOLOGY,electroless nickel; immersion gold; ENIG deposition; copper (Cu) contamination; PCB; in situ Raman spectroscopy; solderability
INGEGNERIA DELL'AUTOMAZIONE,Diesel engines; ORC cycles; DRGA; PI control; H-infinity control
INGEGNERIA BIOMEDICA,newborns; heart rate variability; respiration; linear analysis; non-linear analysis
INGEGNERIA CHIMICA,catalytic partial oxidation; steam reforming; acetic acid; supported catalyst  Rh
INGEGNERIA ELETTRICA,electromagnetic clamp; Black-box model; EN 61000-4-6; conducted susceptibility; testing and measurement techniques; injection techniques; validation test; injection test
INGEGNERIA MECCANICA,"Charpy; impact; resilience; X2CrNiN22-5-3;
hot rolling; duplex; machining"
INGEGNERIA CHIMICA,drug delivery; imaging; nanoparticles; fluorescence
PRODUCT SERVICE SYSTEM DESIGN,Ikea; temporary; retal; solution; Romania
INTERIOR DESIGN,physical communication; mirror; social; newsstand; digital communication; parasite; urban; Milan; kiosk; aggregation; website
INGEGNERIA INFORMATICA,reactive programming; drone
INGEGNERIA BIOMEDICA,epilepsy; stereo-EEG; PCA; K-means Clustering; brain synchronicity; sleep
INGEGNERIA GESTIONALE,smart working; flexible work; job satisfaction; ICT; new physical layout; HR policy; leadership practices
INGEGNERIA GESTIONALE,chief sustainability officer; upper cchelons; corporate social responsibility; new institutional theory
INGEGNERIA MATEMATICA,principal curves; bayesian nonparametric mixture models; Gibbs sampler; Metropolis-Hastings; bayesian regression models
INGEGNERIA GESTIONALE,role; power; digital competences; accountability
INGEGNERIA CIVILE,racks; warping; buckling; displacements
INGEGNERIA CHIMICA,biogas purification; chemical absorption; potassium carbonate solution; piperazine;  electrolyte NRTL; Aspen Plus
GESTIONE DEL COSTRUITO,social housing
INGEGNERIA AERONAUTICA,performance based navigation; area navigation; inertial navigation; interoperability; military inertial navigator; inertial navigator system simulation
INGEGNERIA ENERGETICA,heat exchangers; CFD; RANS; refrigeration
GESTIONE DEL COSTRUITO,building retraining; bownfield
INGEGNERIA ENERGETICA,steam network; solar process heat; industrial sector; modelling software
INGEGNERIA DEI SISTEMI EDILIZI,UNI 11337-1:2015; digital management; information content; construction process; maturity of the digital management; BIM
INGEGNERIA DEI SISTEMI EDILIZI,identification; classification; denomination; BIM
INGEGNERIA CHIMICA,emulsion polymerization; HPMA; nanoparticles; nanoprecipitation; PLA
INGEGNERIA ELETTRONICA,ionization coefficients; InP; near infra red; NIR; SPAD; single photon; build-au; avalanche
INGEGNERIA ENERGETICA,SBI; fire reaction test; photovoltaic solar panel; pyrolysis; ethylene vinil acetato; HRR; fireFoam
INGEGNERIA BIOMEDICA,pancreas; encapsulation; computational fluid dynamic; volume of fluid; fluent; multiphase; diabetes
INGEGNERIA GESTIONALE,risk appetite; risk taking
INGEGNERIA DELLE TELECOMUNICAZIONI,migration of multiples; SOCIG; dip interpolation; interpolation
DESIGN & ENGINEERING,machine; food industry; Brasil; bananas
INGEGNERIA ELETTRICA,design of experiment; Six Sigma; failure mode effects analysis; solenoid valve; pinch valve
INGEGNERIA AERONAUTICA,fluid-structure interaction; ALE; Navierâ€“Stokes; automatic differentiation; FEniCS; structural sensitivity
INGEGNERIA CHIMICA,drug delivery system; Naproxene
INGEGNERIA GESTIONALE,start-up; human capital; education; working experience; size
INGEGNERIA FISICA,organic polymer semiconductors; hybrid bio-organic interfaces; patch clamp; cellular electrophysiology
INGEGNERIA AERONAUTICA,ice; icing models; Myers; Stefan problem; exact solution; unsteady problem; similarity solution; mesh deformation; Shepard; PoliMIce; OpenFOAM
INGEGNERIA FISICA,thermoelectricity; organic materials; conjugated polymers; charge transport
INGEGNERIA ENERGETICA,CFD; OpenFOAM; STAR-CCM+; steady state flow bench; angular momentum (torque); mass flow rate; boundary layers; discharge coefficient; swirl
INGEGNERIA GESTIONALE,mobile banking
INGEGNERIA ENERGETICA,catalytic partial oxidation; hydrogen production; rhodium; syngas; spatial profiles; modeling
INGEGNERIA GESTIONALE,leadership; creativity
GESTIONE DEL COSTRUITO,BIM; facility management; life cycle cost; building management
INGEGNERIA CIVILE,seismic resilience; fragility analysis; bridge networks; traffic analysis; infrastructure functionality
INGEGNERIA MECCANICA,laser cladding; nickel based alloy; thermal radiation; process; tungsten carbides
INGEGNERIA INFORMATICA,visualization; public transport systems; ambient displays
INGEGNERIA DEI SISTEMI EDILIZI,construction management; refurbishment; building restoration; process flow
INGEGNERIA GESTIONALE,creativity; organizational learning mechanisms; science and technology parks; innovation
INGEGNERIA AERONAUTICA,ducted rocket; combustion chamber; combustion efficiencies
ARCHITETTURA,apartment; renovation; microdistrict; public space; context; residential
INGEGNERIA INFORMATICA,FPGA; heterogeneous; architectures; partial dynamic reconfiguration; module reuse; scheduling; mapping; floorplanning; reconfiguration; HW/SW partitioning
INTERIOR DESIGN,Potugal; scenography; theatre; porto; Alfandega; archive
INTERIOR DESIGN,market; China; Beijing; district; multifunctional; public space; community; interaction; tradition; preservation; development
INGEGNERIA MATEMATICA,survival analisis; bayesian statistics; MCMC; data augmentation; mixture model; hierarchical model; AFT model; censored data
INGEGNERIA MECCANICA,Brembo; production system; BPS; lean manufacturing; business logistics
INGEGNERIA ENERGETICA,LEED certification; whole building energy simulation; data center
PRODUCT SERVICE SYSTEM DESIGN,consumption; consumption models; business models; user; user engagement; collaborative economy; sharing economy; collaborative consumption; Airbnb; BlaBlaCar; Uber
PRODUCT SERVICE SYSTEM DESIGN,service design; PSSD; lean; startup; gender gap; wage gap; social innovation
INGEGNERIA INFORMATICA,serious game; dyslexia; rehabilitation
DESIGN DEL PRODOTTO PER L'INNOVAZIONE,Internet of Things; IOT; mapping; website; research; open; smart product; app
INGEGNERIA INFORMATICA,exploration strategies; performance evaluation; perception and decision frequencies; map building; autonomous mobile robot
DESIGN & ENGINEERING,hand hydraulic press; battery powered hydraulic press; crimping terminals
PRODUCT SERVICE SYSTEM DESIGN,international students; culture; exchange; locals
ARCHITETTURA,landscape; sustainable; regeneration
INGEGNERIA MECCANICA,engineer to order; production planning; problem solving; plant layout; Gantt chart; MPS
INGEGNERIA ELETTRICA,transformer; thermal model; hot spot; life; protection
INGEGNERIA ELETTRONICA,shaper; filter; semigaussian; spectroscopy; frontend; preamplifier; rays; acquisition; range; energy; minimum; noise; ENC; reset; pulsed; reduction; dispersion; distribution; order; superior; detector; fine; gain; current; conveyor; rlens; selection; selectable; linearity; integration; charge; resolution; conversion; shaping; peaking; optimum
INGEGNERIA AERONAUTICA,hybrid fuel; entrainment; optical investigation; regression rate; schlieren
DESIGN DELLA COMUNICAZIONE,platform; found footage
PRODUCT SERVICE SYSTEM DESIGN,agency; consultancy; strategy; collaboration; design; universities; companies; innovation
INGEGNERIA AERONAUTICA,hybrid rocket engines; paraffin based fuels; regression rate; diagnostic techniques; optical fibers; entrainment
GESTIONE DEL COSTRUITO,process; specifics; model; application; project
PRODUCT SERVICE SYSTEM DESIGN,storytelling; social design; story listening; story building activities; aesthetic qualities; collaborative experiences; prototyping notes and stories; implementing formats
PRODUCT SERVICE SYSTEM DESIGN,strategic design; product service system design; product service system; italian toy; made in Italy; design
PRODUCT SERVICE SYSTEM DESIGN,logic; infographics; fallacious arguments; communication
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,rain-out; wash-out; sweep-out; occult deposition; ultrafine particle monitor
INTERIOR DESIGN,app; immaterial spaces; museum; new technolgies; ibeacon; city
PRODUCT SERVICE SYSTEM DESIGN,autism; interaction; system; children; Krog; therapy; robot
ARCHITETTURA,informal city; slums; urban regeneration; eco-socio infrastructure
INGEGNERIA DELL'AUTOMAZIONE,TEC; TEG; Peltier; Modelica; model; Seebeck
DESIGN PER IL SISTEMA MODA,temporary; time; water; knitting; dissolution; shrinkage
